# version: v1.8.23
id	name	diff	badge	cover
40161	KAEDE	17.1	HT	
40034	MarbleBlue.	17.8	AT  Lv.16	
39595	BRAVE ROAD	18.4	AT Lv.18	
39240	stop-motion	18.6	AT Lv.18	
39018	DA'AT -The First Seeker of Souls-	18.5	AT Lv.18	
38880	MarbleBlue.	17.7	AT Lv.17	
38741	Eternal Ending	18.0	END Lv.18	
38724	FKIN W H A T	17.6	AT Lv.18	
38606	グローリー · ワンダーランド	18.6	AT Lv.18	
37932	きゅうくらりん	17.0	AT  Lv.17	
37899	エンド・オブ・フェイク！	17.2	AT Lv.17	
37436	:3c	17.9	AT Lv.17+	
37382	Unleashed World	18.7	AT Lv.17	
37162	Dextroy	17.1	α	
37121	Vengeance of the "V"	17.7	AT Lv.17	
37052	朧月	18.7	AT Lv.18	
36844	Parallel Universe Shifter	18.1	AT Lv.18	
36640	Pont des souvenirs	17.4	AT Lv.17	
36514	KIZUNA resolution	17.8	AT Lv.17	
36253	The Final EndGame	19.0	ENDGAME  Lv.19	
35793	Fracture Temporelle	18.3	AT Lv.17	
35485	L.Y.N.N.	17.3	AT Lv.17	
35366	Sphalerite	17.2	AT Lv.16	
35134	Broken Conviction	17.3	AT Lv.17	
34918	Greeting into Abysschaos	17.2	IN Lv.17	
34868	Icyxis ~True Ending~	17.2	IN Lv.17	
34414	anybody can find love (except you.)	17.5	AT Lv.17	
34359	Vicious Mockery	18.5	AT Lv.18	
34208	Echoes of Memoria	18.5	AT Lv.17	
34128	ギザバ怪文書	18.8	AT  Lv.18+	
33530	lovelynonsense	18.4	AT Lv.18	
33440	氷滅の135小節	18.5	AT Lv.18	
33246	Super Universe(Knighthood Remix)	17.1	AT 16+	
33220	Invisible Frenzy	18.9	AT Lv.18	
33175	Apollo	17.8	AT Lv.17	
32622	MixxioN	18.1	AT Lv.18	
32407	终の舞姬	17.6	AT Lv.17.5	
32097	Megameteor	17.4	AT Lv.17	
31769	∀	17.7	AT Lv.17	
31331	Calamity Tempest	18.5	AT Lv.18	
31301	Traxxendenza	18.3	AT Lv.17	
31214	Ultimate Force	17.8	AT  Lv.17	
31096	True Blue	18.9	AT	
30747	Quaoar	18.2	17	
30514	DA'AT -The First Seeker of Souls-	17.9	AT Lv.17	
30506	PANDORA PARADOXXX	17.4	AT  Lv.16	
30474	βlαnoir	18.1	AT Lv.18	
30471	《創造》 ～ Cries, beyond The End	17.9	AT Lv.16	
29640	#curtaincall	17.9	AT Lv.16	
29578	Birds of Plague	17.2	AT Lv.17	
29051	アポカリプスに反逆の焔を焚べろ	17.0	AT Lv.17	
28484	DIZTO HOUZE	17.2	AT Lv.17	
27937	超最終鬼畜妹フランドール・S	18.4	超最終 Lv.17	
27934	BAYONEX	17.5	AT Lv.17	
27336	Sadalmelik	18.2	AT Lv.18	
27157	Re: End of a Dream	18.3	AT Lv.17	
27148	Error Code (VIP Mix)	17.3	FM Lv.16+	
26705	Hypervelocity	18.3	AT Lv.17	
26699	Towards the 300	17.4	IN Lv.17	
26636	Ultimate Force	18.0	UF Lv.18	
26405	Period.	18.1	AT Lv.17+	
26228	stεganography	18.8	AT  Lv.19	
25906	Villain Virus	17.4	AT Lv.17	
25779	Staring at star	18.2	EX Lv.18	
25743	霹靂神ソフトウェア	18.9	AT Lv.17	
25518	Waking Shadows (feat. Eili)	18.2	AT Lv.16+	
25195	Adriftfarer	17.8	AT Lv.17	
25075	《Re:miniscence》	18.5	AT Lv.18	
25019	sic transit gloria mundi	17.0	AT  Lv.16	
24973	Rocky Buinne	17.1	AT Lv.17	
24969	WACCA ULTRA DREAM MEGAMIX	18.5	ST  Lv.FINAL	
24882	POLYBIUS GB SPEEDRUN -Glitchless 100% WR in 0:03:57-	18.1	ST  Lv.BadEnd	
24881	Makear	18.0	ST Lv.18	
24851	DiSANiMATE	18.1	TB Lv.16	
24772	[World_Collapse]	17.7	ST Lv.??	
24757	The Final EndGame	17.2	ENDGAME  Lv.17	
24729	九皋	18.6	AT Lv.18	
24615	you ArE NEvEr ALoNE oN thE dANcEfLoor	18.0	ST  Lv.17	
24429	Ultimate Force	17.1	IN Lv.16	
24421	Screw 'N' Twisty	17.5	ST  Lv.17	
23735	Rite of Ascendancy	18.3	AT Lv.18	
23601	SUPERNOVA	17.8	AT Lv.16+	
23523	うたかたのせかいで	17.5	AT Lv.17	
23418	GAME：CHANGER	18.0	AT Lv.17	
23390	He He He	17.4	IN² Lv.16+	
23117	t / a/n / a/s / i/n / n	18.7	AT Lv.17	
22951	明鏡烈火	17.5	AT Lv.16	
22428	ANU	18.1	AT Lv.16	
21987	NOTES RUSH! Daiza remix~Ruler of the heavens~	18.2	CL Lv.17	
21708	核心共振	18.0	AT Lv.17	
21356	PUPA	17.3	EX  Lv.16	
21157	Burning Star	18.5	Burning Lv.17	
21124	業 -善なる神とこの世の悪について-	18.1	EX Lv.18	
20442	BRAVE：ROAD	18.5	AT Lv.17	
20278	raputa	17.6	AT Lv.17	
20217	Blackmagik Blazing	18.5	EX Lv.18	
19892	Picasso	18.2	AT  Lv.18	
19683	MEGALOVANIA	17.6	IN Lv.16	
19573	iLLness LiLin	17.6	AT Lv.16+	
19552	Xeno Gravity	18.5	AT Lv.17	
19391	ULTiMATE INFLATiON	18.3	TS Lv.17	
19228	すべてが幻になった後で	18.3	AT Lv.18	
19216	九皋	17.7	AT Lv.16	
19181	Picasso	17.6	AT Lv.?	
19089	ヤミナベ!!!!	18.2	AT  Lv.17	
18907	GALACTIC WARZONE	17.7	AT Lv.17	
18552	Sendan Life (Katagiri Bootleg)	18.3	Fragmented Lv.16?	
18119	Seculo Seculorum	18.0	AT Lv.17	
17688	G e n g a o z o	17.1	AT Lv.17	
17393	Ars Cantate	17.6	AT  Lv.17	
16816	天空の城ヴェリエル	18.5	AT Lv.18	
16593	DEUX EX MĀXHINĀ	18.0	AT Lv.18	
16225	Unlimited Hyperlink	18.3	AT Lv.17	
16002	Latent Kingdom	17.8	AT Lv.16	
15892	NIGHTWAVE FRAGMENTS	17.6	AT Lv.16	
15609	《Ж》	18.0	AT Lv.17	
15144	Duplicity Shade	18.7	IN 17.27*	
15129	To：Be Continued	17.3	AT Lv.16	
15076	Exitium	17.7	AT Lv.17	
15019	Astaroth	17.5	AT Lv.16	
14192	VorpΛlize	18.1	AT  Lv.17	
13131	Ascension to Heaven	18.3	AT Lv.16+	
12846	Σvreka	17.7	AT Lv.17	
11585	国士無双	17.4	AT Lv.16	
11517	Le Porteur d'Ombre	18.2	AT Lv.17	
10437	End Time	17.5	AT Lv.16	
9856	Catalinésie	17.6	RE Lv.17	
9198	Angel's Salad	17.7	AT Lv.16+	
8765	Eligos	17.1	EG Lv.16	
7979	ЯeviveR	17.7	AT Lv.17	
7917	キメラ	18.4	キメラ Lv.17	
7707	Annihilation in F# Minor	17.9	EX Lv.17	
7672	Animosity	18.4	AT Lv.17	
7640	Bad Elixir	18.2	AT  Lv.17	
7516	Bathin	17.5	AT  Lv.17	
7375	NiFlhel	18.5	RAVAGE Lv.17	
7328	Le Porteur d'Ombre	17.9	AT  Lv.17	
7116	Necroxus	17.2	AT Lv.16	
7104	火狐之舞	17.3	AT Lv.16	
7052	ギザバ怪文書	17.4	AT Lv.16	
7039	A Lasting Promise	18.0	AT Lv.18	
6956	Blackbird	18.1	AT  Lv.18	
6191	Fin.ArcDeaR	18.3	AT Lv.17	
6182	Bad Elixir	17.6	AT  Lv.17	
6117	Traveler ~stand aloof~	17.5	AT Lv.16	
5889	Exitium	17.1	IN Lv.16	
5844	///Under Construxion///	18.4	AT Lv.16	
5579	Crazy Tek	18.3	AT Lv.18	
4190	lcyxis	17.4	AT Lv.16	
3701	Möbius	18.4	AT Lv.17	
1952	World's end loneliness	17.3	AT Lv.16	
1933	I	17.7	AT Lv.16	
1868	Le Porteur d'Ombre	17.1	AT  Lv.17	
1834	TremENDouS	18.8	AT	
1800	Wolves Standing Towards Enemies	17.8	AT Lv.18	
1464	SILENT TEARS (feat.Yukacco)	17.3	FM Lv.16	
1051	666	17.6	AT Lv.16	
370	Astaroth	18.4	AT Lv.16+	
322	黄道、知希朋友と紡ぎありく。	19.0	STAR"NEVER RETURN	
319	King Atlantis	18.5	AT Lv.17	
294	XODUS	17.6	AT	
285	Quietus Ray	18.1	AT Lv.17\r\n\r\n\r\n	
128	Ēvocator	17.9	AT Lv.17	
13	Nyarlathotep's Dreamland	17.2	AT	
-1	SuddeИDeath	18.5	AT Lv.18	charts/SuddeИDeath/94169124.jpg
-2	Aegleseeker	19.1	AT Lv.19	charts/Aegleseeker/64218553.jpg
-3	999("666"Camellia's Unofficial/Rejected Remix)(A.B.W./multiVoidaЯe)	18.5	AT Lv.17.2	charts/999(666Camellia's UnofficialRejected Remix)(A.B.W.multiVoidaЯe)/8989656637492422.png
-4	Abstruse Dilemma(Sandy NyaN vs. Tairitempest)	18.6	AT  Lv.17	charts/Abstruse Dilemma(Sandy NyaN vs. Tairitempest)/4572176964013491.png
-5	Aegleseeker(Dr.Asriel)	18.4	AT  Lv.17	charts/Aegleseeker(Dr.Asriel)/65177138.jpg
-6	Aegleseeker(18th)	18.9	AT Lv.19	charts/Aegleseeker(18th)/8430179748320745.jpg
-7	APØCALYPSE CALL(no shader)(eggeggegg vs. Tri∆ngle vs. CookieRacer vs. NotTure1)	18.4	AT Lv.18(尾殺微調)	charts/APØCALYPSE CALL(no shader)(eggeggegg vs. Tri∆ngle vs. CookieRacer vs. NotTure1)/7725625328210468.png
-8	Astral Quanization(?)	18.3	AT Lv.17	charts/Astral Quanization()/8799442356810241.jpg
-9	Atohs(Ynomitna_)	18.3	AT Lv.18	charts/Atohs(Ynomitna_)/30419476.jpg
-10	Avantgarde(ησVειF as "Pioneers of Chaos")	18.5	AT Lv.17	charts/Avantgarde(ησVειF as Pioneers of Chaos)/40523976.jpg
-11	Avantgarde(NotTure1)	18.4	AT Lv.17	charts/Avantgarde(NotTure1)/68086105.jpg
-12	Blooming Planet(T_HETA vs.CwD9kir as"Amie_td" x Tsunakan_)	18.4	FATE Lv.18	charts/Blooming Planet(T_HETA vs.CwD9kir asAmie_td x Tsunakan_)/8753054079502769.png
-13	Designant.(αnt/i Δlements.)	18.2	AT Lv.17	charts/Designant.(αnti Δlements.)/61372997.png
-14	Dextroy(kn0l8)	18.4	AT Lv.17	charts/Dextroy(kn0l8)/3259407578585879.jpg
-15	Echoes of Memoria(满瓶水分子 Assisted by. 登顶谱师组)	18.3	AT Lv.18	charts/Echoes of Memoria(满瓶水分子 Assisted by. 登顶谱师组)/77994388.jpg
-16	Emptiness(CwD9kir)	18.1	FATE Lv.18	charts/Emptiness(CwD9kir)/1410205537638216.jpg
-17	Essence("THE EVERGOD" ChartTeam)	18.1	TieBreaker"Enhance"	charts/Essence(THE EVERGOD ChartTeam)/15043585.PNG
-18	Ethereal Realm(Ethereal Revelation)	18.5	MX Lv.18	charts/Ethereal Realm(Ethereal Revelation)/Ethereal_Realm_MX.png
-19	FINΛL PHΛSE(赤光 + 猫獣)	18.2	AT  Lv.18	charts/FINΛL PHΛSE(赤光 + 猫獣)/0815608184180318.jpg
-20	FIRST：DREAMS(SSuent)	18.4	AT Lv.17	charts/FIRST：DREAMS(SSuent)/27439756.jpg
-21	Transcended Love(Even when there is no hope…)	18.9	TL Lv.18	charts/Transcended Love(Even when there is no hope…)/90853085.png
-22	Fracture Ray（Special VIP mix）(Nakuzyo)	18.6	Rebirth Lv.19	charts/Fracture Ray（Special VIP mix）(Nakuzyo)/65272123.png
-23	Infinite Strife,(白菜饺子宴 vs. S.C.A.B.W.)	18.9	AT Lv.18	charts/Infinite Strife,(白菜饺子宴 vs. S.C.A.B.W.)/2419199438387352.png
-24	Infinite Strife,(GPZT_0714)	18.3	Echoes of The Past Lv.18	charts/Infinite Strife,(GPZT_0714)/Infinite Strife.jpg
-25	Judgement(Dargoon)	18.0	AT  Lv.17	charts/Judgement(Dargoon)/24718686.jpg
-26	Lamentation(Xingling&Tairitempest)	18.6	AT Lv.17	charts/Lamentation(Xingling&Tairitempest)/8047965.jpg
-27	Lament Rain(Tm90aGliRw==)	18.2	AT Lv.18	charts/Lament Rain(Tm90aGliRw==)/45497327.png
-28	Lament Rain(?_16)	18.4	AT Lv.18	charts/Lament Rain(_16)/3354412304583697.jpg
-29	MassacrE || 3rc4224M(CWind)	18.0	AT Lv.17	charts/MassacrE  3rc4224M(CWind)/72553132.png
-30	MAXRAGE(MEGAFRENZ / NicotinE)	18.4	AT  Lv.16	charts/MAXRAGE(MEGAFRENZ  NicotinE)/maxrage_blur.png
-31	ma[х]zo(kl [ 0 ] 18)	18.3	AT Lv.17	charts/ma[х]zo(kl [ 0 ] 18)/80913842.png
-32	Nyarlathotep's Dreamland(Kamoi's Dreamland)	18.0	AT Lv.17	charts/Nyarlathotep's Dreamland(Kamoi's Dreamland)/4727593.jpg
-33	Nyarlathotep's Dreamland(Karen)	18.2	AT Lv.17	charts/Nyarlathotep's Dreamland(Karen)/3961564868964992.jpg
-34	Overwhelm(Ezcape)	18.3	AT  Lv.18	charts/Overwhelm(Ezcape)/77743138.jpg
-35	PATHFINDER(Kamoi▽Ц)	18.4	AT Lv.18	charts/PATHFINDER(Kamoi▽Ц)/80216622.jpg
-36	Pentiment(Nothing but question-mark)	18.2	AT Lv.17	charts/Pentiment(Nothing but question-mark)/6688825243987982.jpg
-37	POLꞰAMAИIA(NT1)	18.4	AT Lv.17	charts/POLꞰAMAИIA(NT1)/6742291812632346.jpg
-38	Scarlet Death(OYE IS HAVING A HEART ATTACK)	18.8	AT lv.18	charts/Scarlet Death(OYE IS HAVING A HEART ATTACK)/4467575101072261.png
-39	Per Aspera Ad Astra(6thPecJam)	18.3	AT Lv.16	charts/Per Aspera Ad Astra(6thPecJam)/48953368.jpg
-40	Sound Chimera(NotTure1)	18.3	AT Lv.17	charts/Sound Chimera(NotTure1)/0506682150493561.jpg
-41	UK	18.0	UK Lv.10	charts/UK/Testify.jpg
-42	Testify(Kamoi vs. Li)	18.4	AT Lv.17	charts/Testify(Kamoi vs. Li)/88368897.jpg
-43	Testify(Ezcape)	18.1	AT Lv.17	charts/Testify(Ezcape)/52620415.jpg
-44	Thrudgelmir(qhnps)	18.0	AT Lv.16	charts/Thrudgelmir(qhnps)/93610715.jpg
-45	Travel with me under the stars(Kamoi)	18.0	AT Lv.18	charts/Travel with me under the stars(Kamoi)/2651077766897565.jpg
-46	Undying Macula(「朽痕永续」×「溯源长歌」)	18.1	AT Lv.18	charts/Undying Macula(「朽痕永续」×「溯源长歌」)/1380347582511941.jpg
-47	Verrückt(V?)	18.3	AT Lv.18	charts/Verrückt(V)/6332014052587669.png
-48	What's up? Pop!(Ezcape)	18.1	AT Lv.17	charts/What's up Pop!(Ezcape)/23354209.jpg
-49	Xaleid◆scopiX(Meow◆Hell)	18.3	Re:AT Lv.19	charts/Xaleid◆scopiX(Meow◆Hell)/7439413902621333.jpg
-51	メモリア(NWM-Memory)	18.5	AT Lv.18	charts/メモリア(NWM-Memory)/66644500.jpg
-52	哀煉獄歌(偲烏⇔囃狼)	18.6	Hell Lv.17	charts/哀煉獄歌(偲烏⇔囃狼)/75876586.png
